Type,Adjective,Noun,ERP_Code,Note,HEX
"DB","tafisa","M2041 New Wave","https://tafisa.ca/en/our-colours/new-wave","https://tafisa.ca/sites/default/files/styles/medium/public/2018-08/M2041%28B%29-New-Wave_Nouvelle-Vague_24x24.jpg?itok=Ssr9-3iP","#7D715E"
"DB","tafisa","M2002 Sunset Cruise","https://tafisa.ca/en/our-colours/sunset-cruise","https://tafisa.ca/sites/default/files/styles/medium/public/2020-03/tafisa_M2002%28Y%29_24X24_72dpi.jpg?itok=Tmqk9586","#807364"
"DB","tafisa","M2034 Home Sweet Home","https://tafisa.ca/en/our-colours/home-sweet-home","https://tafisa.ca/sites/default/files/styles/medium/public/2018-08/M2034%28B%29-Home-Sweet-Home_Home-Sweet-Home_24x24.jpg?itok=DZbWbM8f","#635D57"
"DB","tafisa","L832 Urban Vibe","https://tafisa.ca/en/our-colours/urban-vibe","https://tafisa.ca/sites/default/files/styles/medium/public/2020-10/L832%28K%29%20Urban%20Vibe_Amiance%20Urbaine_24X24%20%28Medium%29.jpg?itok=pDlQaAa_","#7B7363"
"DB","tafisa","PM Urban Vibe","https://tafisa.ca/en/our-colours/urban-vibe-0","https://tafisa.ca/sites/default/files/styles/medium/public/2020-10/PM832_24X24%20%28Medium%29.jpg?itok=sU_aDktF","#7B7363"
"DB","tafisa","L535 Southwester","https://tafisa.ca/en/our-colours/southwester","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L535%28A%29_24X24_72dpi.jpg?itok=5oovb6uK","#6E6454"
"DB","tafisa","L537 Breakwater","https://tafisa.ca/en/our-colours/breakwater","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L537%28A%29_24X24_72dpi.jpg?itok=qsiq_U36","#6B5A52"
"DB","tafisa","L583 First Class","https://tafisa.ca/en/our-colours/first-class","https://tafisa.ca/sites/default/files/styles/medium/public/2020-10/L583%28K%29%20First%20Class_Premi%C3%A8re%20Classe_24X24%20%28Medium%29.jpg?itok=PDOqnd1C","#554637"
"DB","tafisa","L477 Tuxedo","https://tafisa.ca/en/our-colours/tuxedo","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L477%28C%29_24X24_72dpi.jpg?itok=UDtYLxm1","#3F332A"
"DB","tafisa","L499 Grenada","https://tafisa.ca/en/our-colours/grenada","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L499%28S%29_24X24_72dpi.jpg?itok=kvuu6DwO","#493C34"
"DB","tafisa","L479 Truffle","https://tafisa.ca/en/our-colours/truffle","https://tafisa.ca/sites/default/files/styles/medium/public/960x960_L479%28C%29_hires.jpg?itok=90S3qRxe","#433125"
"DB","tafisa","L543 Spring Blossom","https://tafisa.ca/en/our-colours/spring-blossom","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L543%28A%29_24X24_72dpi_0.jpg?itok=-mWcuSvM","#4E443A"
"DB","tafisa","L444 Chocolate Pear Tree","https://tafisa.ca/en/our-colours/chocolate-pear-tree","https://tafisa.ca/sites/default/files/styles/medium/public/960x960_L444%28C%29_hires.jpg?itok=i0p9t_wk","#39281D"
